Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/aura?r=35&ui-force-components-controllers-recordGlobalValueProvider.RecordGvp.getRecord=1-357,3187,189,153,351,376,484,122,2430,0.000%,1.81856,3.92,5.74
/aura?r=38&aura.RecordUi.getObjectInfo=1-360,3187,129,118,141,160,243,101,2292,0.000%,1.81861,14.99,5.38
/aura?r=37&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-359,3187,191,179,209,228,393,149,2086,0.000%,1.81853,9.89,5.96
/aura?r=36&aura.DynamicComponent.getTemplateDescriptorWithExpansionBundle=1-358,3187,309,283,332,362,776,237,2436,0.000%,1.81841,14.44,5.95
/cs127/auraCmpDef-361,100,73,70,89,91,94,59,107,0.000%,1.74350,9.23,1.39
/cs127/auraCmpDef-362,100,67,66,75,78,88,56,102,0.000%,1.74395,3.54,1.34
/aura?r=39&aura.RecordUi.getRecordWithFields=1-363,3187,166,151,177,198,365,129,2289,0.000%,1.81903,3.93,5.93
/aura?r=40&aura.Actions.getRecordActions=1-364,3187,179,160,189,209,462,136,2550,0.000%,1.81902,4.49,5.48
/aura?r=41&aura.RecordUi.getRecordWithFields=1-365,3187,152,135,157,177,363,115,2298,0.000%,1.81904,3.64,5.65
/aura?r=43&aura.ApexAction.execute=1-367,3187,145,130,152,169,327,114,2058,0.000%,1.81905,3.27,5.74
/aura?r=42&aura.ApexAction.execute=1-366,3187,227,200,248,272,1434,165,2165,0.000%,1.81897,3.27,5.72
/auraCmpDef-369,3187,107,92,115,156,309,81,2078,0.000%,1.81925,2.50,2.05
/aura?r=46&ui-global-components-one-workspaceTabWrapper.WorkspaceTabWrapper.getThemeForEntityApiName=1-372,3187,109,94,114,129,303,84,2120,0.000%,1.81935,3.19,4.21
/auraCmpDef-373,100,96,93,102,105,163,86,190,0.000%,1.74908,4.68,1.94
/aura?r=44&aura.ApexAction.execute=1-368,3187,616,564,668,770,2258,483,3671,0.000%,1.81899,4.87,5.77
/aura?r=48&aura.ApexAction.execute=1-375,3187,611,552,666,796,2237,472,3330,0.000%,1.81914,3.54,4.16
/aura?r=47&aura.ApexAction.execute=1-374,3187,798,663,1065,1780,2544,457,3147,0.000%,1.81842,3.26,4.27
/aura?r=49&aura.ApexAction.execute=1-377,3187,825,739,1067,1246,2765,467,3717,0.000%,1.82000,3.51,4.25
/aura?r=50&aura.ApexAction.execute=1-378,3186,764,626,1039,1271,2600,440,3749,0.000%,1.81962,3.55,4.26
/aura?r=51&aura.ApexAction.execute=1-379,3186,804,662,1081,1806,2647,463,3774,0.000%,1.81992,3.58,4.26
/aura?r=45&aura.ApexAction.execute=6&aura.RecordUi.getRecordWithFields=1-371,3186,1523,1393,2060,2857,3562,921,4652,0.000%,1.81897,5.76,8.41
/aura?r=52&ui-instrumentation-components-beacon.InstrumentationBeacon.sendData=1-387,3186,239,187,306,511,1274,153,3957,0.000%,1.82035,3.33,143.59
/cometd/40.0-296,3186,83,74,88,99,215,68,2071,0.000%,1.82044,1.82,2.30
05. Customer Details,3186,8182,7844,9895,10380,11405,6041,16075,0.000%,1.80952,100.79,237.89
TOTAL,276405,541,165,832,2180,8310,56,16075,0.001%,153.45893,1883.94,2299.82
